"","glom","sample size","species richness","shannon","levins","stnd.levins"
"GWTS_Edge","MOTU","14","43","3.58149741738245","29.4795321637427","0.678084099136731"
"GWTS_France","MOTU","23","78","4.04023803706513","37.1663366336634","0.46969268355407"
"GWTS_Inside","MOTU","22","81","4.15353306884408","46.0914454277286","0.563643067846608"
"Pygmy_Edge","MOTU","45","169","4.72674097948116","65.7397605545054","0.385355717586341"
"Pygmy_France","MOTU","28","106","4.43873952152598","63.8615984405458","0.59868188990996"
"Pygmy_Outside","MOTU","46","170","4.74407134898149","66.5247148288973","0.38772020608815"
"GWTS_Edge","species","14","42","3.54981656416449","28.4802259887006","0.67024941435855"
"GWTS_France","species","23","63","3.81145251081214","31.5445378151261","0.49265383572784"
"GWTS_Inside","species","22","63","3.85177324665623","35.1037735849057","0.550060864272672"
"Pygmy_Edge","species","45","147","4.5494061790825","56.1531335149864","0.377761188458811"
"Pygmy_France","species","28","93","4.29750549024537","56.6528028933092","0.604921770579448"
"Pygmy_Outside","species","46","136","4.40466219659322","45.5457926545793","0.329968834478365"
"GWTS_Edge","genus","14","33","3.24212787208714","19.8144329896907","0.587951030927835"
"GWTS_France","genus","23","54","3.58291827596696","23.4159292035398","0.422942060444148"
"GWTS_Inside","genus","22","52","3.55596636179217","23.280276816609","0.436868172874686"
"Pygmy_Edge","genus","45","121","4.33185185375402","48.142578125","0.392854817708333"
"Pygmy_France","genus","28","87","4.22184034261718","52.8600682593857","0.60302404952774"
"Pygmy_Outside","genus","46","114","4.19664168171366","39.093062605753","0.337106748723478"
"GWTS_Edge","family","14","23","2.75781723980717","11.068085106383","0.457640232108317"
"GWTS_France","family","23","44","3.37292556876219","19.7584345479082","0.436242663904843"
"GWTS_Inside","family","22","44","3.38516135804797","20.5619967793881","0.454930157660188"
"Pygmy_Edge","family","45","72","3.83929177081337","33.6267136701919","0.459531178453407"
"Pygmy_France","family","28","63","3.88308274127224","39.0540540540541","0.613775065387969"
"Pygmy_Outside","family","46","81","3.87604082869823","32.124400147656","0.3890550018457"
"GWTS_Edge","order","14","13","2.21607331743618","7.38931297709924","0.532442748091603"
"GWTS_France","order","23","27","2.94053902913901","13.7244501940492","0.489401930540352"
"GWTS_Inside","order","22","18","2.59538060247011","10.3902132998745","0.552365488227913"
"Pygmy_Edge","order","45","24","2.75582620696858","13.1302735280482","0.527403196871661"
"Pygmy_France","order","28","20","2.73911717160677","13.3007633587786","0.647408597830454"
"Pygmy_Outside","order","46","25","2.80566811452832","14","0.541666666666667"
