"","glom","sample size","species richness","shannon","levins","stnd.levins"
"GWTS_Edge","MOTU","14","116","4.55917846796121","72.6","0.622608695652174"
"GWTS_France","MOTU","23","213","5.03276120842504","101.709352517986","0.475044115650876"
"GWTS_Inside","MOTU","22","191","5.00122352285254","103.640909090909","0.540215311004785"
"Pygmy_Edge","MOTU","45","349","5.41482082149317","119.020408163265","0.339139103917429"
"Pygmy_France","MOTU","28","209","5.07786641000476","111.916265640039","0.53325127711557"
"Pygmy_Outside","MOTU","46","355","5.45964831111508","129.814710836609","0.363883363945222"
"GWTS_Edge","species","14","80","4.12415882354612","46.893023255814","0.580924345010303"
"GWTS_France","species","23","129","4.43629881520213","56.8639053254438","0.43643676035503"
"GWTS_Inside","species","22","113","4.37621631836464","54.9618320610687","0.481802071973828"
"Pygmy_Edge","species","45","225","4.86758944411816","72.3752166377816","0.318639359990097"
"Pygmy_France","species","28","157","4.72998042550853","78.4","0.496153846153846"
"Pygmy_Outside","species","46","235","4.93410029015789","75.4815129621759","0.318297063940923"
"GWTS_Edge","genus","14","61","3.79669933109321","32.929203539823","0.532153392330384"
"GWTS_France","genus","23","104","4.19393225060232","44.7220579538735","0.424485999552169"
"GWTS_Inside","genus","22","93","4.1068653583963","38.8275555555556","0.411169082125604"
"Pygmy_Edge","genus","45","173","4.57354164331641","57.6439882697947","0.329325513196481"
"Pygmy_France","genus","28","135","4.57126457303565","68.540192926045","0.504031290492873"
"Pygmy_Outside","genus","46","183","4.64407488435176","60.3479867730014","0.326087839412095"
"GWTS_Edge","family","14","44","3.43650067611573","21.8496042216359","0.48487451678223"
"GWTS_France","family","23","78","3.91937005881109","34.984468339307","0.441356731679312"
"GWTS_Inside","family","22","69","3.78731759818549","29.5384615384615","0.419683257918552"
"Pygmy_Edge","family","45","92","4.00559608053445","38.7727994915793","0.415085708698673"
"Pygmy_France","family","28","87","4.13844945932385","49.0601092896175","0.558838480111831"
"Pygmy_Outside","family","46","112","4.14963657308937","42.0465567410281","0.369788799468722"
"GWTS_Edge","order","14","25","2.80046964919797","12.0416666666667","0.460069444444444"
"GWTS_France","order","23","30","3.0972691314511","18.5241090146751","0.604279621195692"
"GWTS_Inside","order","22","24","2.84768496633584","14.1006993006993","0.569595621769535"
"Pygmy_Edge","order","45","26","2.87167568822096","14.992236207505","0.5596894483002"
"Pygmy_France","order","28","28","2.92876033470375","15.6747812856599","0.543510417987405"
"Pygmy_Outside","order","46","29","2.92476706701978","15.8075792224763","0.52884211508844"
