"","glom","sample size","rich.mean","rich.sd","shan.mean","shan.sd","lev.mean","lev.sd","st.lev.mean","st.lev.sd"
"GWTS_Edge","MOTU","14","116","0","4.55917846796121","0","72.6","0","0.622608695652174","0"
"GWTS_France","MOTU","14","149.08","11.0961636832217","4.78012838444768","0.0823715912682025","89.591712917165","8.9786388504165","0.597447985750573","0.0270468956286727"
"GWTS_Inside","MOTU","14","133.86","14.3899656396779","4.71462426722811","0.119624457431482","87.3214198149299","12.0232047059969","0.648227852833159","0.0379573139302622"
"Pygmy_Edge","MOTU","14","141.89","15.9835110743111","4.75557156475838","0.128137133835705","87.432867355189","12.8833256793006","0.612204013984893","0.0464507310660654"
"Pygmy_France","MOTU","14","124.14","9.72866222493456","4.66886931662332","0.0821926362929516","86.6425409187657","8.03051873059893","0.695631060341118","0.0379209526037066"
"Pygmy_Outside","MOTU","14","147.11","10.4300411109332","4.81256942105884","0.0698835675593075","94.6370671939877","8.82808852304055","0.641686788422288","0.0514195665831492"
"GWTS_Edge","species","14","80","0","4.12415882354612","0","46.893023255814","0","0.580924345010303","0"
"GWTS_France","species","14","95.31","7.20647155848355","4.25924560302689","0.0737049241133682","52.4186133074783","4.10780710685127","0.545595248282055","0.0244612662251645"
"GWTS_Inside","species","14","85.92","6.71900666058983","4.19380108610859","0.0854161723611007","50.0605756877263","4.60341424490796","0.577593374373085","0.0273947435404717"
"Pygmy_Edge","species","14","105.7","7.70215764076744","4.39971493401141","0.09348185252373","59.3807987838727","6.86705937949135","0.556790114500266","0.0427114252890474"
"Pygmy_France","species","14","99.66","6.17296157006137","4.40442516450546","0.0769884586563285","64.8733054950383","6.47632629865443","0.646493722269011","0.0385136363121287"
"Pygmy_Outside","species","14","110.18","8.2319652893615","4.44461779244753","0.0845567029863502","61.4383949021945","7.01830710294593","0.553683031171366","0.0499662219356161"
"GWTS_Edge","genus","14","61","0","3.79669933109321","0","32.929203539823","0","0.532153392330384","0"
"GWTS_France","genus","14","77.37","5.65445207626948","4.02095772514839","0.077465179741815","41.0708069265339","3.59470698768306","0.524693276700666","0.0269542671484948"
"GWTS_Inside","genus","14","69.4","5.6977755716285","3.92226621284131","0.0920330375155358","35.6623911067965","3.7305795054101","0.506030342414774","0.0215142514996617"
"Pygmy_Edge","genus","14","88.14","6.20201987299706","4.19536636388247","0.0884795296186155","48.9851241874024","5.59063146123019","0.550243620469969","0.0457129373711934"
"Pygmy_France","genus","14","87.78","6.36686498183915","4.26863823526759","0.0848970091889794","56.9220792540126","5.696603445043","0.643603027100837","0.031366988195187"
"Pygmy_Outside","genus","14","90.93","5.77219913276412","4.22641646634904","0.0720333193444392","49.9867631358377","4.60349693130762","0.544973045217314","0.0413598893551376"
"GWTS_Edge","family","14","44","0","3.43650067611573","0","21.8496042216359","0","0.48487451678223","0"
"GWTS_France","family","14","61.75","3.64975438498361","3.79629713193601","0.0658021200224399","33.2744314664324","2.59836368265224","0.530983759596581","0.0224998896403664"
"GWTS_Inside","family","14","54.62","4.2325816560047","3.65477401986599","0.0797058088010228","27.7987369298131","2.48674240297942","0.499863958836136","0.025795816083734"
"Pygmy_Edge","family","14","59.84","3.74090142002478","3.80206648618014","0.0722570410804642","35.1822462862073","2.92094190340858","0.580999754821353","0.033522175649858"
"Pygmy_France","family","14","63.91","4.06784632666645","3.94607362189269","0.0694168712824266","42.9011419188106","3.2846167609185","0.665911469554522","0.0263928810226949"
"Pygmy_Outside","family","14","66.41","5.3164410515443","3.88746421114779","0.0748255896910568","37.2575678584946","2.79823202763927","0.555498663275413","0.0334931418612546"
"GWTS_Edge","order","14","25","0","2.80046964919797","0","12.0416666666667","0","0.460069444444444","0"
"GWTS_France","order","14","26.69","1.9316345723796","3.0404906141721","0.0685436912416762","17.7477074292857","1.23301333317092","0.652538718308859","0.0266935845918401"
"GWTS_Inside","order","14","21.79","1.12182211089141","2.80775083592352","0.0429552155612514","13.8060052823225","0.702111662754069","0.616875751972237","0.0346619334281064"
"Pygmy_Edge","order","14","21.32","1.50339682725554","2.81234032852503","0.0630404514032438","14.514470025575","0.947545061060849","0.66630561992562","0.0374232017329083"
"Pygmy_France","order","14","22.79","1.86024327723689","2.8577288241005","0.070603865516833","14.9719382032901","0.986938971201531","0.64263266093942","0.028980482704004"
"Pygmy_Outside","order","14","22.42","1.81564469447237","2.85856609210188","0.0640618569077128","15.2699923338208","0.874695725798436","0.668514472237248","0.0396931810314943"
