"","glom","sample size","rich.mean","rich.sd","shan.mean","shan.sd","lev.mean","lev.sd","st.lev.mean","st.lev.sd"
"Pygmy_Edge","MOTU","28","244.75","12.9118026032249","5.17465451177353","0.0671140751861988","108.358891749155","9.8445431700903","0.440109231816019","0.0279743145336417"
"Pygmy_France","MOTU","28","209","0","5.07786641000476","0","111.916265640039","0","0.53325127711557","0"
"Pygmy_Outside","MOTU","28","250.52","9.36194747934748","5.22360850106746","0.0414329703330558","118.501512832381","7.38469952158599","0.471034359747964","0.0261001257679614"
"Pygmy_Edge","species","28","167.77","7.41668198840773","4.70147669457948","0.0613399156416299","67.8187997727973","5.20763777535918","0.400369363487641","0.02023473255526"
"Pygmy_France","species","28","157","0","4.72998042550853","0","78.4","0","0.496153846153846","0"
"Pygmy_Outside","species","28","174.94","6.63602046988763","4.75735705808107","0.0411178689415411","70.6388573562194","4.11659907323636","0.400574150281824","0.0223375067903844"
"Pygmy_Edge","genus","28","131.78","5.96721683598617","4.43559119970653","0.0604759051371031","54.6630339016521","4.13834082578241","0.410178334272102","0.0227662019579141"
"Pygmy_France","genus","28","135","0","4.57126457303565","0","68.540192926045","0","0.504031290492873","0"
"Pygmy_Outside","genus","28","140.05","5.24621075374668","4.50055264548125","0.0415198210332829","57.0930623225436","3.16185818078973","0.403582397974698","0.0207113077776425"
"Pygmy_Edge","family","28","79","2.73030134866931","3.94795162792769","0.034223329401079","37.8745119659193","1.4895526069057","0.472944721802484","0.0164632238837054"
"Pygmy_France","family","28","87","0","4.13844945932385","0","49.0601092896175","0","0.558838480111831","0"
"Pygmy_Outside","family","28","91.99","3.56893159464744","4.06329609509073","0.0411419956323609","40.6894375437063","1.97924961522247","0.436424283874751","0.0195205387575777"
"Pygmy_Edge","order","28","23.99","1.14145928220383","2.85241770831297","0.0347546890695459","14.8228519625442","0.518114384740957","0.602052647471384","0.0239077075594257"
"Pygmy_France","order","28","28","0","2.92876033470375","0","15.6747812856599","0","0.543510417987405","0"
"Pygmy_Outside","order","28","26.13","1.21982777390081","2.89921370946901","0.0312518786717222","15.5620364541046","0.407833727890272","0.580383261387489","0.0230371913207594"
