"","glom","sample size","species richness","shannon","levins","stnd.levins"
"GWTS_Edge","MOTU","14","116","3.15098588357237","15.7281732075312","0.128071071369836"
"GWTS_France","MOTU","23","213","3.19662013035082","9.6408562528104","0.040758755909483"
"GWTS_Inside","MOTU","22","191","3.23426938099333","12.8346295290252","0.0622875238369749"
"Pygmy_Edge","MOTU","45","349","4.38639637264897","52.0481462319668","0.146690075379215"
"Pygmy_France","MOTU","28","209","3.86197960439063","27.4721926759949","0.127270157096129"
"Pygmy_Outside","MOTU","46","355","4.42716254279144","50.3410607178207","0.139381527451471"
"GWTS_Edge","species","14","80","3.1047762240559","15.6160818890291","0.185013694797837"
"GWTS_France","species","23","129","3.05180449794203","9.44484515370162","0.0659753527632939"
"GWTS_Inside","species","22","113","3.13228238880017","12.7288453036225","0.104721833068058"
"Pygmy_Edge","species","45","225","4.24930165854713","48.6303026798234","0.21263527982064"
"Pygmy_France","species","28","157","3.80210024084039","27.2517197432665","0.168280254764529"
"Pygmy_Outside","species","46","235","4.19321035744206","41.2623484141715","0.17206131800928"
"GWTS_Edge","genus","14","61","2.81196309079121","11.8751282135289","0.181252136892149"
"GWTS_France","genus","23","104","2.77850511034639","7.3012856716559","0.0611775307927757"
"GWTS_Inside","genus","22","93","2.69580783130102","7.5998804786798","0.0717378312899978"
"Pygmy_Edge","genus","45","173","4.02671492086818","38.5806160963024","0.21849195404827"
"Pygmy_France","genus","28","135","3.76399892342504","26.8596256711598","0.192982281128058"
"Pygmy_Outside","genus","46","183","3.94706020079545","31.661128474842","0.168467738872758"
"GWTS_Edge","family","14","44","2.19623009827325","6.1553842802921","0.119892657681212"
"GWTS_France","family","23","78","2.68980730516891","7.15773364686466","0.0799705668423982"
"GWTS_Inside","family","22","69","2.59635204107286","7.40944632034168","0.0942565635344365"
"Pygmy_Edge","family","45","92","3.64600993111801","29.1414154746664","0.309246323897433"
"Pygmy_France","family","28","87","3.36152481706277","17.4961009956063","0.191815127855887"
"Pygmy_Outside","family","46","112","3.61504263263596","23.7966250689767","0.205375000621412"
"GWTS_Edge","order","14","25","1.74088837209201","4.6591957881844","0.15246649117435"
"GWTS_France","order","23","30","2.16146238356119","4.38513163160643","0.116728676951946"
"GWTS_Inside","order","22","24","1.733959022574","3.06379320950613","0.0897301395437447"
"Pygmy_Edge","order","45","26","2.50121776065076","10.004894544765","0.360195781790599"
"Pygmy_France","order","28","28","2.35585403658063","8.10769743432496","0.263248053123147"
"Pygmy_Outside","order","46","29","2.66653693823786","11.5214614171604","0.375766479184301"
