Species,Location,Bodypart,Measure,Zone
Pygmy,France,Weight,3.6,France
GWTS,France,Weight,9.9,France
GWTS,France,Weight,9.8,France
GWTS,France,Weight,8.3,France
GWTS,France,Weight,8.2,France
GWTS,France,Weight,8.5,France
Pygmy,France,Weight,3.8,France
GWTS,France,Weight,8.4,France
GWTS,France,Weight,8.8,France
GWTS,France,Weight,9.3,France
GWTS,France,Weight,9.4,France
Pygmy,France,Weight,3.8,France
GWTS,France,Weight,8.2,France
Pygmy,France,Weight,3.8,France
Pygmy,France,Weight,3.4,France
Pygmy,France,Weight,4.1,France
Pygmy,France,Weight,3.6,France
Pygmy,France,Weight,3.7,France
Pygmy,France,Weight,4,France
GWTS,France,Weight,8.1,France
GWTS,France,Weight,9,France
Pygmy,France,Weight,4.1,France
GWTS,France,Weight,9.2,France
GWTS,France,Weight,8.3,France
GWTS,France,Weight,10.5,France
Pygmy,France,Weight,3.8,France
Pygmy,France,Weight,4,France
GWTS,France,Weight,7,France
Pygmy,France,Weight,3.4,France
Pygmy,France,Weight,3.4,France
GWTS,France,Weight,8.9,France
GWTS,France,Weight,8.5,France
Pygmy,France,Weight,3.6,France
GWTS,France,Weight,9,France
GWTS,France,Weight,9.3,France
Pygmy,France,Weight,3.5,France
Pygmy,France,Weight,3.9,France
Pygmy,France,Weight,4,France
Pygmy,France,Weight,3.6,France
Pygmy,France,Weight,3.1,France
Pygmy,France,Weight,4.4,France
GWTS,France,Weight,9.1,France
GWTS,France,Weight,11.3,France
GWTS,France,Weight,11.2,France
GWTS,France,Weight,11,France
GWTS,France,Weight,9.6,France
GWTS,France,Weight,9.6,France
Pygmy,France,Weight,4.5,France
Pygmy,France,Weight,5.1,France
GWTS,France,Weight,11.1,France
GWTS,France,Weight,10,France
GWTS,France,Weight,11.7,France
Pygmy,France,Weight,5,France
Pygmy,France,Weight,5.2,France
Pygmy,France,Weight,4.6,France
Pygmy,France,Weight,4.3,France
Pygmy,France,Weight,5.4,France
Pygmy,France,Weight,4,France
Pygmy,France,Weight,5.8,France
GWTS,France,Weight,10.2,France
Pygmy,France,Weight,5.2,France
GWTS,France,Weight,11.4,France
Pygmy,France,Weight,4.1,France
Pygmy,France,Weight,5,France
GWTS,France,Weight,11.4,France
GWTS,France,Weight,9.6,France
Pygmy,France,Weight,6,France
GWTS,France,Weight,12.5,France
GWTS,France,Weight,10.4,France
Pygmy,France,Weight,4.4,France
Pygmy,France,Weight,4.8,France
Pygmy,France,Weight,5,France
Pygmy,France,Weight,5.4,France
Pygmy,France,Weight,5.6,France
Pygmy,France,Weight,5.9,France
GWTS,France,Weight,10.5,France
GWTS,France,Weight,11.4,France
GWTS,France,Weight,10.6,France
Pygmy,France,Weight,4.9,France
GWTS,France,Weight,11.9,France
GWTS,France,Weight,11.9,France
GWTS,France,Weight,10.5,France
Pygmy,France,Total,91.5,France
GWTS,France,Total,115.7,France
GWTS,France,Total,113.2,France
GWTS,France,Total,109.3,France
GWTS,France,Total,101.3,France
GWTS,France,Total,106,France
Pygmy,France,Total,94,France
GWTS,France,Total,106.8,France
GWTS,France,Total,106.6,France
GWTS,France,Total,112.8,France
GWTS,France,Total,119,France
Pygmy,France,Total,92.5,France
GWTS,France,Total,105.6,France
Pygmy,France,Total,96.4,France
Pygmy,France,Total,93.5,France
Pygmy,France,Total,93.6,France
Pygmy,France,Total,87,France
Pygmy,France,Total,95.6,France
Pygmy,France,Total,98.4,France
GWTS,France,Total,105.3,France
GWTS,France,Total,111.4,France
Pygmy,France,Total,95.8,France
GWTS,France,Total,105.5,France
GWTS,France,Total,108.5,France
GWTS,France,Total,116.6,France
Pygmy,France,Total,92.7,France
Pygmy,France,Total,93,France
GWTS,France,Total,110,France
Pygmy,France,Total,92.5,France
Pygmy,France,Total,88.3,France
GWTS,France,Total,106.7,France
GWTS,France,Total,106.5,France
