"","glom","group_1","group_2","Seed","Num_of_reps","Elapsed_time","Metric","Algorithm","Observed","Mean_sim_index","Var_sim_index","low_95_1tail","upper_95_1tail","low_95_2tail","upper_95_2tail","P_obs_less_Null","P_obs_great_Null","P_obs_equal_Null"
"1","MOTU","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  2 secs ","  Pianka ","  RA3 ","  0.42877 ","  0.27011 ","  0.0029801 ","  0.19567 ","  0.37092 ","  0.18546 ","  0.40495 ","0.9851 ","0.0151 ","2e-04 "
"2","MOTU","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.4617 ","  0.30469 ","  0.0029135 ","  0.22987 ","  0.4008 ","  0.21808 ","  0.43027 ","0.9872 ","0.0128 ","0 "
"3","MOTU","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  2 secs ","  Pianka ","  RA3 ","  0.22842 ","  0.16024 ","  0.002094 ","  0.10922 ","  0.23958 ","  0.10335 ","  0.26836 ","0.9322 ","0.0678 ","0 "
"4","MOTU","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.7 secs ","  Pianka ","  RA3 ","  0.34607 ","  0.30536 ","  0.0024468 ","  0.23297 ","  0.39503 ","  0.22115 ","  0.41698 ","0.8028 ","0.1976 ","4e-04 "
"5","MOTU","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  2 secs ","  Pianka ","  RA3 ","  0.35772 ","  0.20128 ","  0.00197 ","  0.14629 ","  0.29112 ","  0.13926 ","  0.31635 ","0.993 ","0.007 ","0 "
"6","MOTU","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  2.1 secs ","  Pianka ","  RA3 ","  0.39034 ","  0.20217 ","  0.0018941 ","  0.14682 ","  0.28376 ","  0.13982 ","  0.30936 ","0.997 ","0.003 ","0 "
"7","species","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.8 secs ","  Pianka ","  RA3 ","  0.48978 ","  0.30129 ","  0.0035564 ","  0.21874 ","  0.4137 ","  0.20606 ","  0.4454 ","0.9925 ","0.0075 ","0 "
"8","species","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.8 secs ","  Pianka ","  RA3 ","  0.48969 ","  0.3236 ","  0.0031653 ","  0.24391 ","  0.42402 ","  0.23265 ","  0.45404 ","0.9876 ","0.0124 ","0 "
"9","species","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.9 secs ","  Pianka ","  RA3 ","  0.318 ","  0.16852 ","  0.0024482 ","  0.11101 ","  0.25633 ","  0.10509 ","  0.28797 ","0.985 ","0.015 ","0 "
"10","species","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.41138 ","  0.32808 ","  0.0026703 ","  0.25218 ","  0.42083 ","  0.23957 ","  0.43975 ","0.9329 ","0.0673 ","2e-04 "
"11","species","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  1.8 secs ","  Pianka ","  RA3 ","  0.47257 ","  0.20895 ","  0.0023645 ","  0.14776 ","  0.30544 ","  0.14056 ","  0.32841 ","0.9997 ","3e-04 ","0 "
"12","species","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  2.1 secs ","  Pianka ","  RA3 ","  0.48633 ","  0.20785 ","  0.0021966 ","  0.14664 ","  0.29492 ","  0.13918 ","  0.32368 ","0.9997 ","3e-04 ","0 "
"13","genus","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.70229 ","  0.24769 ","  0.0054815 ","  0.15961 ","  0.39535 ","  0.14856 ","  0.45674 ","0.9999 ","1e-04 ","0 "
"14","genus","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.62656 ","  0.29909 ","  0.0037685 ","  0.21543 ","  0.41442 ","  0.20227 ","  0.44895 ","0.9999 ","1e-04 ","0 "
"15","genus","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.7 secs ","  Pianka ","  RA3 ","  0.43439 ","  0.15655 ","  0.0032474 ","  0.094966 ","  0.26627 ","  0.08815 ","  0.33261 ","0.9982 ","0.0018 ","0 "
"16","genus","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.52972 ","  0.30255 ","  0.0034699 ","  0.21951 ","  0.4101 ","  0.20768 ","  0.43771 ","0.9982 ","0.0018 ","0 "
"17","genus","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  1.7 secs ","  Pianka ","  RA3 ","  0.54695 ","  0.18727 ","  0.0031531 ","  0.12058 ","  0.29638 ","  0.11368 ","  0.33959 "," 1e-04 "," 0.9999 ","0 "
"18","genus","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  2 secs ","  Pianka ","  RA3 ","  0.58861 ","  0.23005 ","  0.002684 ","  0.16053 ","  0.32787 ","  0.15176 ","  0.35512 "," 1e-04 "," 0.9999 ","0 "
"19","family","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.4 secs ","  Pianka ","  RA3 ","  0.71044 ","  0.26513 ","  0.0071039 ","  0.1629 ","  0.44455 ","  0.15029 ","  0.48344 ","0.9999 ","1e-04 ","0 "
"20","family","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.57262 ","  0.33639 ","  0.0047672 ","  0.23813 ","  0.46388 ","  0.22437 ","  0.49416 ","0.9977 ","0.0023 ","0 "
"21","family","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.43003 ","  0.21861 ","  0.0047739 ","  0.12905 ","  0.35623 ","  0.11977 ","  0.39217 ","0.9899 ","0.0101 ","0 "
"22","family","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.5003 ","  0.32458 ","  0.0047718 ","  0.2256 ","  0.45225 ","  0.21203 ","  0.4815 ","0.9854 ","0.015 ","4e-04 "
"23","family","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.54208 ","  0.24205 ","  0.0049316 ","  0.15128 ","  0.37791 ","  0.14043 ","  0.41161 ","0.9996 ","4e-04 ","0 "
"24","family","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.6474 ","  0.3064 ","  0.004015 ","  0.21388 ","  0.42162 ","  0.20121 ","  0.44735 "," 1e-04 "," 0.9999 ","0 "
"25","order","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.3 secs ","  Pianka ","  RA3 ","  0.78604 ","  0.38868 ","  0.012773 ","  0.24252 ","  0.61576 ","  0.2236 ","  0.68456 ","0.9967 ","0.0033 ","0 "
"26","order","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.2 secs ","  Pianka ","  RA3 ","  0.67322 ","  0.42862 ","  0.011837 ","  0.26929 ","  0.62614 ","  0.25234 ","  0.66286 ","0.9795 ","0.0205 ","0 "
"27","order","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.3 secs ","  Pianka ","  RA3 ","  0.65673 ","  0.38508 ","  0.011616 ","  0.23005 ","  0.58142 ","  0.21025 ","  0.6174 ","0.989 ","0.011 ","0 "
"28","order","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.2 secs ","  Pianka ","  RA3 ","  0.65932 ","  0.41114 ","  0.012397 ","  0.24935 ","  0.61564 ","  0.22851 ","  0.64928 ","0.9788 ","0.0212 ","0 "
"29","order","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  1.3 secs ","  Pianka ","  RA3 ","  0.69812 ","  0.36683 ","  0.012115 ","  0.20678 ","  0.56804 ","  0.18421 ","  0.60382 ","0.9979 ","0.0021 ","0 "
"30","order","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.3 secs ","  Pianka ","  RA3 ","  0.89831 ","  0.41656 ","  0.011222 ","  0.25048 ","  0.59821 ","  0.22016 ","  0.63476 "," 1e-04 "," 0.9999 ","0 "
