"","glom","group_1","group_2","Seed","Num_of_reps","Elapsed_time","Metric","Algorithm","Observed","Mean_sim_index","Var_sim_index","low_95_1tail","upper_95_1tail","low_95_2tail","upper_95_2tail","P_obs_less_Null","P_obs_great_Null","P_obs_equal_Null"
"1","MOTU","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  3.1 secs ","  Pianka ","  RA3 ","  0.58977 ","  0.031401 ","  0.0020965 ","  0.0053997 ","  0.10329 ","  0.0043519 ","  0.13496 "," 1e-04 "," 0.9999 ","0 "
"2","MOTU","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  2.1 secs ","  Pianka ","  RA3 ","  0.48238 ","  0.043764 ","  0.0024152 ","  0.0099524 ","  0.11938 ","  0.0081885 ","  0.15199 ","0.9999 ","1e-04 ","0 "
"3","MOTU","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  3.1 secs ","  Pianka ","  RA3 ","  0.25398 ","  0.033402 ","  0.00111 ","  0.0085371 ","  0.087446 ","  0.0070819 ","  0.12318 ","0.9963 ","0.0037 ","0 "
"4","MOTU","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  2.2 secs ","  Pianka ","  RA3 ","  0.30981 ","  0.053063 ","  0.0020332 ","  0.013356 ","  0.13687 ","  0.011067 ","  0.18486 ","0.9983 ","0.0017 ","0 "
"5","MOTU","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  3.1 secs ","  Pianka ","  RA3 ","  0.35512 ","  0.049708 ","  0.0012334 ","  0.015359 ","  0.11834 ","  0.012918 ","  0.14636 "," 1e-04 "," 0.9999 ","0 "
"6","MOTU","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  3.2 secs ","  Pianka ","  RA3 ","  0.37335 ","  0.059932 ","  0.0012165 ","  0.021872 ","  0.1285 ","  0.019068 ","  0.15188 "," 1e-04 "," 0.9999 ","0 "
"7","species","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.8 secs ","  Pianka ","  RA3 ","  0.5963 ","  0.055094 ","  0.0034146 ","  0.012667 ","  0.14647 ","  0.01041 ","  0.20239 ","0.9999 ","1e-04 ","0 "
"8","species","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.7 secs ","  Pianka ","  RA3 ","  0.48549 ","  0.06663 ","  0.0033947 ","  0.019269 ","  0.15735 ","  0.016347 ","  0.22212 ","0.9996 ","4e-04 ","0 "
"9","species","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  2.3 secs ","  Pianka ","  RA3 ","  0.27695 ","  0.054316 ","  0.0018843 ","  0.017025 ","  0.13162 ","  0.014603 ","  0.17083 ","0.9926 ","0.0074 ","0 "
"10","species","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.9 secs ","  Pianka ","  RA3 ","  0.31411 ","  0.083759 ","  0.0030266 ","  0.027432 ","  0.19263 ","  0.023347 ","  0.24426 ","0.9934 ","0.0066 ","0 "
"11","species","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  2.6 secs ","  Pianka ","  RA3 ","  0.36346 ","  0.081375 ","  0.001868 ","  0.03296 ","  0.16498 ","  0.02872 ","  0.19413 ","0.9998 ","2e-04 ","0 "
"12","species","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  2.2 secs ","  Pianka ","  RA3 ","  0.38696 ","  0.089341 ","  0.0017127 ","  0.040018 ","  0.17078 ","  0.035169 ","  0.19412 ","0.9999 ","1e-04 ","0 "
"13","genus","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.9 secs ","  Pianka ","  RA3 ","  0.75477 ","  0.050899 ","  0.0047935 ","  0.0091565 ","  0.16358 ","  0.0075958 ","  0.22338 "," 1e-04 "," 0.9999 ","0 "
"14","genus","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.8 secs ","  Pianka ","  RA3 ","  0.59596 ","  0.075862 ","  0.0045616 ","  0.020746 ","  0.18501 ","  0.017356 ","  0.26847 "," 1e-04 "," 0.9999 ","0 "
"15","genus","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  2 secs ","  Pianka ","  RA3 ","  0.59994 ","  0.055965 ","  0.0026355 ","  0.015191 ","  0.13989 ","  0.012913 ","  0.19256 "," 1e-04 "," 0.9999 ","0 "
"16","genus","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.7 secs ","  Pianka ","  RA3 ","  0.52513 ","  0.08872 ","  0.0041457 ","  0.026385 ","  0.21997 ","  0.022123 ","  0.29134 "," 1e-04 "," 0.9999 ","0 "
"17","genus","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  2 secs ","  Pianka ","  RA3 ","  0.60948 ","  0.073941 ","  0.0027234 ","  0.024431 ","  0.17302 ","  0.02089 ","  0.21932 "," 1e-04 "," 0.9999 ","0 "
"18","genus","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  2 secs ","  Pianka ","  RA3 ","  0.5708 ","  0.10444 ","  0.0025055 ","  0.047109 ","  0.20213 ","  0.041299 ","  0.23509 "," 1e-04 "," 0.9999 ","0 "
"19","family","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.72229 ","  0.072213 ","  0.0071171 ","  0.013163 ","  0.21247 ","  0.01081 ","  0.31032 "," 1e-04 "," 0.9999 ","0 "
"20","family","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.4922 ","  0.096637 ","  0.0071324 ","  0.02656 ","  0.2539 ","  0.022139 ","  0.32711 ","0.9906 ","0.0094 ","0 "
"21","family","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.9 secs ","  Pianka ","  RA3 ","  0.53595 ","  0.092621 ","  0.0049105 ","  0.027756 ","  0.24302 ","  0.022981 ","  0.29918 "," 1e-04 "," 0.9999 ","0 "
"22","family","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.40273 ","  0.10717 ","  0.0067689 ","  0.028604 ","  0.26243 ","  0.024208 ","  0.36235 ","0.9848 ","0.0152 ","0 "
"23","family","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.56949 ","  0.11009 ","  0.0047512 ","  0.033778 ","  0.25027 ","  0.028685 ","  0.28597 ","0.9999 ","1e-04 ","0 "
"24","family","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.60504 ","  0.14268 ","  0.0043468 ","  0.062738 ","  0.27311 ","  0.054683 ","  0.31566 "," 1e-04 "," 0.9999 ","0 "
"25","order","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.4 secs ","  Pianka ","  RA3 ","  0.88735 ","  0.12788 ","  0.022796 ","  0.026519 ","  0.36132 ","  0.02228 ","  0.83646 ","0.9968 ","0.0032 ","0 "
"26","order","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.3 secs ","  Pianka ","  RA3 ","  0.58615 ","  0.16814 ","  0.019805 ","  0.042047 ","  0.50453 ","  0.034194 ","  0.58739 ","0.9744 ","0.0256 ","0 "
"27","order","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.3 secs ","  Pianka ","  RA3 ","  0.66478 ","  0.1789 ","  0.016071 ","  0.051865 ","  0.48331 ","  0.043687 ","  0.52873 ","0.9993 ","7e-04 ","0 "
