"","glom","group_1","group_2","Seed","Num_of_reps","Elapsed_time","Metric","Algorithm","Observed","Mean_sim_index","Var_sim_index","low_95_1tail","upper_95_1tail","low_95_2tail","upper_95_2tail","P_obs_less_Null","P_obs_great_Null","P_obs_equal_Null"
"1","MOTU","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.8 secs ","  Pianka ","  RA3 ","  0.60737 ","  0.078617 ","  0.0060583 ","  0.017866 ","  0.2082 ","  0.014751 ","  0.27848 ","0.9998 ","2e-04 ","0 "
"2","MOTU","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.9 secs ","  Pianka ","  RA3 ","  0.5726 ","  0.094742 ","  0.0064093 ","  0.026618 ","  0.23798 ","  0.022497 ","  0.34808 ","0.9994 ","6e-04 ","0 "
"3","MOTU","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.8 secs ","  Pianka ","  RA3 ","  0.27125 ","  0.094593 ","  0.0039284 ","  0.033053 ","  0.21863 ","  0.028283 ","  0.26052 ","0.9798 ","0.0202 ","0 "
"4","MOTU","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.36411 ","  0.1284 ","  0.0055546 ","  0.045196 ","  0.28169 ","  0.038933 ","  0.3353 ","0.9851 ","0.0149 ","0 "
"5","MOTU","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  1.7 secs ","  Pianka ","  RA3 ","  0.37821 ","  0.1671 ","  0.0039308 ","  0.086105 ","  0.28439 ","  0.076367 ","  0.3212 ","0.9926 ","0.0074 ","0 "
"6","MOTU","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.7 secs ","  Pianka ","  RA3 ","  0.42472 ","  0.16831 ","  0.0037029 ","  0.086798 ","  0.28358 ","  0.077743 ","  0.3143 ","0.9991 ","9e-04 ","0 "
"7","species","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.61025 ","  0.089692 ","  0.006851 ","  0.022678 ","  0.2212 ","  0.01849 ","  0.32961 ","0.9993 ","7e-04 ","0 "
"8","species","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.57149 ","  0.11189 ","  0.0079092 ","  0.032703 ","  0.29578 ","  0.027743 ","  0.40509 ","0.9985 ","0.0015 ","0 "
"9","species","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.7 secs ","  Pianka ","  RA3 ","  0.29107 ","  0.10957 ","  0.004288 ","  0.04179 ","  0.24332 ","  0.036207 ","  0.2856 ","0.9767 ","0.0233 ","0 "
"10","species","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.8 secs ","  Pianka ","  RA3 ","  0.36369 ","  0.14857 ","  0.0061463 ","  0.059073 ","  0.30672 ","  0.050197 ","  0.35809 ","0.9768 ","0.0232 ","0 "
