"","glom","group_1","group_2","Seed","Num_of_reps","Elapsed_time","Metric","Algorithm","Observed","Mean_sim_index","Var_sim_index","low_95_1tail","upper_95_1tail","low_95_2tail","upper_95_2tail","P_obs_less_Null","P_obs_great_Null","P_obs_equal_Null"
"1","MOTU","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.7 secs ","  Pianka ","  RA3 ","  0.45655 ","  0.33421 ","  0.0052906 ","  0.22913 ","  0.47194 ","  0.21374 ","  0.49929 ","0.932 ","0.0684 ","4e-04 "
"2","MOTU","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.50289 ","  0.36745 ","  0.0061287 ","  0.25525 ","  0.5086 ","  0.23811 ","  0.54861 ","0.9448 ","0.0553 ","1e-04 "
"3","MOTU","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.24685 ","  0.22663 ","  0.004418 ","  0.14489 ","  0.34991 ","  0.13362 ","  0.40142 ","0.6909 ","0.3097 ","6e-04 "
"4","MOTU","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.39557 ","  0.35333 ","  0.0047095 ","  0.25019 ","  0.47502 ","  0.23498 ","  0.50376 ","0.7387 ","0.2615 ","2e-04 "
"5","MOTU","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.37765 ","  0.30976 ","  0.0038924 ","  0.2243 ","  0.42717 ","  0.2143 ","  0.45337 ","0.858 ","0.1423 ","3e-04 "
"6","MOTU","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.47217 ","  0.27425 ","  0.0042723 ","  0.18887 ","  0.39683 ","  0.17877 ","  0.43877 ","0.9875 ","0.0125 ","0 "
"7","species","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.46145 ","  0.34854 ","  0.0055212 ","  0.24009 ","  0.48358 ","  0.22306 ","  0.51423 ","0.922 ","0.0783 ","3e-04 "
"8","species","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.4 secs ","  Pianka ","  RA3 ","  0.49908 ","  0.37194 ","  0.0063706 ","  0.25808 ","  0.51426 ","  0.2391 ","  0.56171 ","0.9372 ","0.0632 ","4e-04 "
"9","species","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.25963 ","  0.23084 ","  0.0048657 ","  0.14453 ","  0.36287 ","  0.13575 ","  0.41862 ","0.726 ","0.2743 ","3e-04 "
"10","species","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.41582 ","  0.3657 ","  0.0050003 ","  0.26094 ","  0.49158 ","  0.24579 ","  0.52356 ","0.7776 ","0.2225 ","1e-04 "
"11","species","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  1.8 secs ","  Pianka ","  RA3 ","  0.42174 ","  0.31315 ","  0.0043657 ","  0.22392 ","  0.43319 ","  0.21247 ","  0.46433 ","0.9327 ","0.0673 ","0 "
"12","species","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.53687 ","  0.27801 ","  0.0046252 ","  0.18882 ","  0.41033 ","  0.17708 ","  0.44501 ","0.9977 ","0.0024 ","1e-04 "
"13","genus","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.4 secs ","  Pianka ","  RA3 ","  0.6771 ","  0.2851 ","  0.0090987 ","  0.16477 ","  0.48015 ","  0.15061 ","  0.52778 ","0.9989 ","0.0011 ","0 "
"14","genus","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.4 secs ","  Pianka ","  RA3 ","  0.65703 ","  0.34298 ","  0.0075742 ","  0.22341 ","  0.50916 ","  0.20669 ","  0.54953 ","0.9972 ","0.0028 ","0 "
"15","genus","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.38549 ","  0.21892 ","  0.006437 ","  0.12266 ","  0.38855 ","  0.11301 ","  0.42931 ","0.9474 ","0.0526 ","0 "
"16","genus","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.54215 ","  0.33436 ","  0.0066025 ","  0.21968 ","  0.48442 ","  0.20419 ","  0.52244 ","0.982 ","0.018 ","0 "
"17","genus","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  2.3 secs ","  Pianka ","  RA3 ","  0.49852 ","  0.27283 ","  0.0059145 ","  0.17584 ","  0.42767 ","  0.16446 ","  0.46511 ","0.9889 ","0.0111 ","0 "
"18","genus","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  2.4 secs ","  Pianka ","  RA3 ","  0.61434 ","  0.30943 ","  0.0053935 ","  0.20797 ","  0.44662 ","  0.19551 ","  0.48112 ","0.9988 ","0.0012 ","0 "
"19","family","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.7 secs ","  Pianka ","  RA3 ","  0.6955 ","  0.28773 ","  0.011183 ","  0.15532 ","  0.49792 ","  0.14275 ","  0.54018 ","0.9976 ","0.0024 ","0 "
"20","family","GWTS_France","Pygmy_France","  -75057840 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.62515 ","  0.37469 ","  0.0077563 ","  0.24752 ","  0.5363 ","  0.22848 ","  0.57438 ","0.9908 ","0.0092 ","0 "
"21","family","GWTS_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.4 secs ","  Pianka ","  RA3 ","  0.36725 ","  0.26024 ","  0.0077807 ","  0.14497 ","  0.4278 ","  0.13184 ","  0.46725 ","0.8718 ","0.1282 ","0 "
"22","family","GWTS_Ireland","Pygmy_France","  -75057840 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.51913 ","  0.33855 ","  0.0077393 ","  0.21442 ","  0.50157 ","  0.19687 ","  0.5417 ","0.9626 ","0.0378 ","4e-04 "
"23","family","GWTS_Ireland","Pygmy_Ireland","  -75057840 ","  10000 ","  1.4 secs ","  Pianka ","  RA3 ","  0.48666 ","  0.29439 ","  0.0073633 ","  0.18162 ","  0.45267 ","  0.16841 ","  0.49013 ","0.9723 ","0.0277 ","0 "
"24","family","Pygmy_France","Pygmy_Ireland","  -75057840 ","  10000 ","  1.4 secs ","  Pianka ","  RA3 ","  0.65865 ","  0.36681 ","  0.006294 ","  0.24929 ","  0.50995 ","  0.23311 ","  0.54188 ","0.9993 ","7e-04 ","0 "
"25","order","GWTS_France","GWTS_Ireland","  -75057840 ","  10000 ","  1.4 secs ","  Pianka ","  RA3 ","  0.7412 ","  0.36063 ","  0.020168 ","  0.17586 ","  0.64268 ","  0.15561 ","  0.70437 ","0.9858 ","0.0143 ","1e-04 "
