"","glom","group_1","group_2","Seed","Num_of_reps","Elapsed_time","Metric","Algorithm","Observed","Mean_sim_index","Var_sim_index","low_95_1tail","upper_95_1tail","low_95_2tail","upper_95_2tail","P_obs_less_Null","P_obs_great_Null","P_obs_equal_Null"
"1","MOTU","GWTS_Edge","GWTS_France","  -567119066 ","  10000 ","  1.8 secs ","  Pianka ","  RA3 ","  0.20758 ","  0.28716 ","  0.0043714 ","  0.19737 ","  0.41176 ","  0.18716 ","  0.44238 ","0.0907 ","0.9093 ","0 "
"2","MOTU","GWTS_Edge","GWTS_Inside","  -567119066 ","  10000 ","  2.7 secs ","  Pianka ","  RA3 ","  0.36134 ","  0.34516 ","  0.0039322 ","  0.25751 ","  0.46103 ","  0.2409 ","  0.4901 ","0.6529 ","0.3544 ","0.0073 "
"3","MOTU","GWTS_Edge","Pygmy_Edge","  -567119066 ","  10000 ","  2.8 secs ","  Pianka ","  RA3 ","  0.11326 ","  0.22469 ","  0.0029993 ","  0.15549 ","  0.33017 ","  0.14589 ","  0.36089 ","1e-04 ","0.9999 ","0 "
"4","MOTU","GWTS_Edge","Pygmy_France","  -567119066 ","  10000 ","  3.7 secs ","  Pianka ","  RA3 ","  0.1283 ","  0.30361 ","  0.0031315 ","  0.22284 ","  0.40516 ","  0.21271 ","  0.42879 ","0 ","1 ","0 "
"5","MOTU","GWTS_Edge","Pygmy_Outside","  -567119066 ","  10000 ","  3 secs ","  Pianka ","  RA3 ","  0.13091 ","  0.22463 ","  0.0028962 ","  0.15786 ","  0.32919 ","  0.14823 ","  0.35806 ","0.0031 ","0.9973 ","4e-04 "
"6","MOTU","GWTS_France","GWTS_Inside","  -567119066 ","  10000 ","  2.1 secs ","  Pianka ","  RA3 ","  0.46162 ","  0.28785 ","  0.0035255 ","  0.20785 ","  0.39637 ","  0.19818 ","  0.43504 ","0.9855 ","0.0145 ","0 "
"7","MOTU","GWTS_France","Pygmy_Edge","  -567119066 ","  10000 ","  2.4 secs ","  Pianka ","  RA3 ","  0.21447 ","  0.21473 ","  0.002619 ","  0.15192 ","  0.30383 ","  0.1441 ","  0.33958 ","0.5851 ","0.4163 ","0.0014 "
"8","MOTU","GWTS_France","Pygmy_France","  -567119066 ","  10000 ","  2.9 secs ","  Pianka ","  RA3 ","  0.4617 ","  0.30492 ","  0.0029704 ","  0.22987 ","  0.40276 ","  0.21808 ","  0.43223 ","0.987 ","0.0132 ","2e-04 "
"9","MOTU","GWTS_France","Pygmy_Outside","  -567119066 ","  10000 ","  2.8 secs ","  Pianka ","  RA3 ","  0.22068 ","  0.2197 ","  0.0026036 ","  0.15795 ","  0.31142 ","  0.14899 ","  0.34615 ","0.6067 ","0.3934 ","1e-04 "
"10","MOTU","GWTS_Inside","Pygmy_Edge","  -567119066 ","  10000 ","  2.4 secs ","  Pianka ","  RA3 ","  0.40765 ","  0.26145 ","  0.0026106 ","  0.19632 ","  0.35993 ","  0.18678 ","  0.38992 ","0.9833 ","0.0167 ","0 "
