"","glom","group_1","group_2","Seed","Num_of_reps","Elapsed_time","Metric","Algorithm","Observed","Mean_sim_index","Var_sim_index","low_95_1tail","upper_95_1tail","low_95_2tail","upper_95_2tail","P_obs_less_Null","P_obs_great_Null","P_obs_equal_Null"
"1","MOTU","GWTS_Edge","GWTS_France","  1554279441 ","  10000 ","  2.4 secs ","  Pianka ","  RA3 ","  0.13956 ","  0.040518 ","  0.0031426 ","  0.005786 ","  0.12634 ","  0.0046091 ","  0.18258 ","0.9602 ","0.0398 ","0 "
"2","MOTU","GWTS_Edge","GWTS_Inside","  1554279441 ","  10000 ","  5.6 secs ","  Pianka ","  RA3 ","  0.35749 ","  0.052723 ","  0.0033405 ","  0.0078593 ","  0.16616 ","  0.0063357 ","  0.24288 ","0.9957 ","0.0043 ","0 "
"3","MOTU","GWTS_Edge","Pygmy_Edge","  1554279441 ","  10000 ","  2.9 secs ","  Pianka ","  RA3 ","  0.1561 ","  0.066562 ","  0.0019725 ","  0.016469 ","  0.15291 ","  0.013341 ","  0.18146 ","0.953 ","0.047 ","0 "
"4","MOTU","GWTS_Edge","Pygmy_France","  1554279441 ","  10000 ","  5.3 secs ","  Pianka ","  RA3 ","  0.039443 ","  0.068086 ","  0.0028288 ","  0.015577 ","  0.18212 ","  0.012367 ","  0.21744 ","0.3461 ","0.6539 ","0 "
"5","MOTU","GWTS_Edge","Pygmy_Outside","  1554279441 ","  10000 ","  4.3 secs ","  Pianka ","  RA3 ","  0.10181 ","  0.064552 ","  0.0019805 ","  0.017172 ","  0.1553 ","  0.013774 ","  0.18339 ","0.8382 ","0.1618 ","0 "
"6","MOTU","GWTS_France","GWTS_Inside","  1554279441 ","  10000 ","  2.8 secs ","  Pianka ","  RA3 ","  0.69807 ","  0.030163 ","  0.0025663 ","  0.0045577 ","  0.10706 ","  0.0038413 ","  0.14464 "," 1e-04 "," 0.9999 ","0 "
"7","MOTU","GWTS_France","Pygmy_Edge","  1554279441 ","  10000 ","  2.7 secs ","  Pianka ","  RA3 ","  0.27036 ","  0.043156 ","  0.00173 ","  0.010518 ","  0.1192 ","  0.0088468 ","  0.1686 ","0.9941 ","0.0059 ","0 "
"8","MOTU","GWTS_France","Pygmy_France","  1554279441 ","  10000 ","  2.8 secs ","  Pianka ","  RA3 ","  0.48238 ","  0.044874 ","  0.0026142 ","  0.0099765 ","  0.1219 ","  0.008317 ","  0.16588 ","0.9998 ","2e-04 ","0 "
"9","MOTU","GWTS_France","Pygmy_Outside","  1554279441 ","  10000 ","  3 secs ","  Pianka ","  RA3 ","  0.17238 ","  0.042076 ","  0.0016824 ","  0.011037 ","  0.11151 ","  0.0090234 ","  0.14568 ","0.9834 ","0.0166 ","0 "
"10","MOTU","GWTS_Inside","Pygmy_Edge","  1554279441 ","  10000 ","  3.1 secs ","  Pianka ","  RA3 ","  0.36696 ","  0.055184 ","  0.00191 ","  0.013629 ","  0.15014 ","  0.011433 ","  0.18816 "," 1e-04 "," 0.9999 ","0 "
