"","glom","group_1","group_2","Seed","Num_of_reps","Elapsed_time","Metric","Algorithm","Observed","Mean_sim_index","Var_sim_index","low_95_1tail","upper_95_1tail","low_95_2tail","upper_95_2tail","P_obs_less_Null","P_obs_great_Null","P_obs_equal_Null"
"1","MOTU","GWTS_Edge","GWTS_France","  1554279441 ","  10000 ","  1.7 secs ","  Pianka ","  RA3 ","  0.18152 ","  0.10925 ","  0.0092681 ","  0.021456 ","  0.3362 ","  0.01711 ","  0.39247 ","0.8566 ","0.1434 ","0 "
"2","MOTU","GWTS_Edge","GWTS_Inside","  1554279441 ","  10000 ","  1.8 secs ","  Pianka ","  RA3 ","  0.37691 ","  0.16165 ","  0.0094555 ","  0.048475 ","  0.36196 ","  0.039152 ","  0.40918 ","0.9591 ","0.0409 ","0 "
"3","MOTU","GWTS_Edge","Pygmy_Edge","  1554279441 ","  10000 ","  2.8 secs ","  Pianka ","  RA3 ","  0.17703 ","  0.18906 ","  0.0051228 ","  0.086042 ","  0.31934 ","  0.071957 ","  0.34983 ","0.4809 ","0.5191 ","0 "
"4","MOTU","GWTS_Edge","Pygmy_France","  1554279441 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.068699 ","  0.18196 ","  0.0086999 ","  0.063387 ","  0.36231 ","  0.052334 ","  0.40301 ","0.0664 ","0.9336 ","0 "
"5","MOTU","GWTS_Edge","Pygmy_Outside","  1554279441 ","  10000 ","  3.6 secs ","  Pianka ","  RA3 ","  0.13913 ","  0.15905 ","  0.0057862 ","  0.061614 ","  0.30631 ","  0.052252 ","  0.34437 ","0.4671 ","0.5329 ","0 "
"6","MOTU","GWTS_France","GWTS_Inside","  1554279441 ","  10000 ","  2.2 secs ","  Pianka ","  RA3 ","  0.70985 ","  0.088888 ","  0.0090141 ","  0.017381 ","  0.22743 ","  0.014101 ","  0.35056 ","0.9998 ","2e-04 ","0 "
"7","MOTU","GWTS_France","Pygmy_Edge","  1554279441 ","  10000 ","  2.8 secs ","  Pianka ","  RA3 ","  0.2725 ","  0.11371 ","  0.0048796 ","  0.036952 ","  0.26325 ","  0.030475 ","  0.29587 ","0.9577 ","0.0423 ","0 "
"8","MOTU","GWTS_France","Pygmy_France","  1554279441 ","  10000 ","  2.4 secs ","  Pianka ","  RA3 ","  0.5829 ","  0.11601 ","  0.00891 ","  0.030642 ","  0.31076 ","  0.025227 ","  0.42687 ","0.999 ","0.001 ","0 "
"9","MOTU","GWTS_France","Pygmy_Outside","  1554279441 ","  10000 ","  2.4 secs ","  Pianka ","  RA3 ","  0.21077 ","  0.098023 ","  0.0054924 ","  0.02884 ","  0.23999 ","  0.024409 ","  0.31474 ","0.9316 ","0.0684 ","0 "
"10","MOTU","GWTS_Inside","Pygmy_Edge","  1554279441 ","  10000 ","  2.3 secs ","  Pianka ","  RA3 ","  0.38919 ","  0.17324 ","  0.0052026 ","  0.076858 ","  0.30928 ","  0.066711 ","  0.34433 ","0.991 ","0.009 ","0 "
