"","glom","group_1","group_2","Seed","Num_of_reps","Elapsed_time","Metric","Algorithm","Observed","Mean_sim_index","Var_sim_index","low_95_1tail","upper_95_1tail","low_95_2tail","upper_95_2tail","P_obs_less_Null","P_obs_great_Null","P_obs_equal_Null"
"1","MOTU","GWTS_Inside","Interspecific","  1554279441 ","  10000 ","  46 secs ","  Pianka ","  RA3 ","  0.097528 ","  0.011912 ","  2.2232e-05 ","  0.0054092 ","  0.020524 ","  0.004575 ","  0.022727 "," 1e-04 "," 0.9999 ","0 "
"2","MOTU","Pygmy_Outside","Interspecific","  1554279441 ","  10000 ","  3.6 mins ","  Pianka ","  RA3 ","  0.038667 ","  0.008831 ","  2.6477e-06 ","  0.006415 ","  0.011683 ","  0.0060434 ","  0.012348 "," 1e-04 "," 0.9999 ","0 "
"3","MOTU","Pygmy_Edge","Interspecific","  1554279441 ","  10000 ","  4 mins ","  Pianka ","  RA3 ","  0.030823 ","  0.0082746 ","  2.8372e-06 ","  0.0057196 ","  0.011231 ","  0.005398 ","  0.011909 "," 1e-04 "," 0.9999 ","0 "
"4","MOTU","GWTS_Edge","Interspecific","  1554279441 ","  10000 ","  17 secs ","  Pianka ","  RA3 ","  0.072622 ","  0.020958 ","  8.9653e-05 ","  0.0080299 ","  0.038237 ","  0.0065117 ","  0.042759 ","0.9995 ","5e-04 ","0 "
"5","MOTU","Pygmy_France","Interspecific","  1554279441 ","  10000 ","  1.1 mins ","  Pianka ","  RA3 ","  0.056283 ","  0.013177 ","  1.2363e-05 ","  0.0079694 ","  0.019425 ","  0.0072762 ","  0.021063 "," 1e-04 "," 0.9999 ","0 "
"6","MOTU","GWTS_France","Interspecific","  1554279441 ","  10000 ","  49 secs ","  Pianka ","  RA3 ","  0.17177 ","  0.011924 ","  1.8666e-05 ","  0.0058993 ","  0.019668 ","  0.005207 ","  0.021809 "," 1e-04 "," 0.9999 ","0 "
"7","species","GWTS_Inside","Interspecific","  1554279441 ","  10000 ","  35 secs ","  Pianka ","  RA3 ","  0.098773 ","  0.019827 ","  3.7321e-05 ","  0.011076 ","  0.030932 ","  0.009851 ","  0.033727 "," 1e-04 "," 0.9999 ","0 "
"8","species","Pygmy_Outside","Interspecific","  1554279441 ","  10000 ","  2.8 mins ","  Pianka ","  RA3 ","  0.05382 ","  0.013159 ","  4.0127e-06 ","  0.010105 ","  0.016688 ","  0.0096607 ","  0.017521 "," 1e-04 "," 0.9999 ","0 "
"9","species","Pygmy_Edge","Interspecific","  1554279441 ","  10000 ","  2.6 mins ","  Pianka ","  RA3 ","  0.035645 ","  0.012737 ","  4.426e-06 ","  0.0095076 ","  0.016434 ","  0.0090296 ","  0.017222 "," 1e-04 "," 0.9999 ","0 "
"10","species","GWTS_Edge","Interspecific","  1554279441 ","  10000 ","  14 secs ","  Pianka ","  RA3 ","  0.070857 ","  0.028879 ","  0.0001311 ","  0.012953 ","  0.049585 ","  0.010992 ","  0.055072 ","0.9961 ","0.0039 ","0 "
"11","species","Pygmy_France","Interspecific","  1554279441 ","  10000 ","  54 secs ","  Pianka ","  RA3 ","  0.056796 ","  0.017357 ","  1.655e-05 ","  0.011435 ","  0.024638 ","  0.010525 ","  0.02643 "," 1e-04 "," 0.9999 ","0 "
"12","species","GWTS_France","Interspecific","  1554279441 ","  10000 ","  36 secs ","  Pianka ","  RA3 ","  0.17616 ","  0.018868 ","  2.9086e-05 ","  0.011122 ","  0.028528 ","  0.0099533 ","  0.031106 "," 1e-04 "," 0.9999 ","0 "
"13","genus","GWTS_Inside","Interspecific","  1554279441 ","  10000 ","  33 secs ","  Pianka ","  RA3 ","  0.19106 ","  0.023101 ","  4.41e-05 ","  0.013475 ","  0.035138 ","  0.012088 ","  0.038136 "," 1e-04 "," 0.9999 ","0 "
"14","genus","Pygmy_Outside","Interspecific","  1554279441 ","  10000 ","  2.4 mins ","  Pianka ","  RA3 ","  0.070397 ","  0.01648 ","  5.0638e-06 ","  0.013084 ","  0.020461 ","  0.012534 ","  0.021382 "," 1e-04 "," 0.9999 ","0 "
"15","genus","Pygmy_Edge","Interspecific","  1554279441 ","  10000 ","  2.3 mins ","  Pianka ","  RA3 ","  0.048099 ","  0.016413 ","  5.5974e-06 ","  0.012859 ","  0.020582 ","  0.012313 ","  0.021555 "," 1e-04 "," 0.9999 ","0 "
"16","genus","GWTS_Edge","Interspecific","  1554279441 ","  10000 ","  13 secs ","  Pianka ","  RA3 ","  0.11234 ","  0.036779 ","  0.00016476 ","  0.018517 ","  0.059571 ","  0.01635 ","  0.065796 "," 1e-04 "," 0.9999 ","0 "
"17","genus","Pygmy_France","Interspecific","  1554279441 ","  10000 ","  51 secs ","  Pianka ","  RA3 ","  0.057796 ","  0.020105 ","  1.9398e-05 ","  0.013591 ","  0.02795 ","  0.012556 ","  0.029875 "," 1e-04 "," 0.9999 ","0 "
"18","genus","GWTS_France","Interspecific","  1554279441 ","  10000 ","  37 secs ","  Pianka ","  RA3 ","  0.23294 ","  0.022036 ","  3.5899e-05 ","  0.013467 ","  0.032908 ","  0.012313 ","  0.035714 "," 1e-04 "," 0.9999 ","0 "
