"","glom","group_1","group_2","Seed","Num_of_reps","Elapsed_time","Metric","Algorithm","Observed","Mean_sim_index","Var_sim_index","low_95_1tail","upper_95_1tail","low_95_2tail","upper_95_2tail","P_obs_less_Null","P_obs_great_Null","P_obs_equal_Null"
"1","MOTU","GWTS_Edge","GWTS_France","  -183102045 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.24913 ","  0.34267 ","  0.007528 ","  0.21546 ","  0.50162 ","  0.19863 ","  0.54202 ","0.1335 ","0.8676 ","0.0011 "
"2","MOTU","GWTS_Edge","GWTS_Inside","  -183102045 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.39833 ","  0.39334 ","  0.005925 ","  0.28015 ","  0.53403 ","  0.26264 ","  0.56467 ","0.5765 ","0.4235 ","0 "
"3","MOTU","GWTS_Edge","Pygmy_Edge","  -183102045 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.12801 ","  0.26662 ","  0.0049679 ","  0.17068 ","  0.40074 ","  0.15955 ","  0.43228 ","0.0018 ","0.9982 ","0 "
"4","MOTU","GWTS_Edge","Pygmy_France","  -183102045 ","  10000 ","  1.5 secs ","  Pianka ","  RA3 ","  0.13646 ","  0.34383 ","  0.0063734 ","  0.22633 ","  0.48594 ","  0.20969 ","  0.52255 ","1e-04 ","0.9999 ","0 "
"5","MOTU","GWTS_Edge","Pygmy_Outside","  -183102045 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.13604 ","  0.26778 ","  0.0048601 ","  0.17541 ","  0.40095 ","  0.16288 ","  0.43138 ","0.003 ","0.9971 ","1e-04 "
"6","MOTU","GWTS_France","GWTS_Inside","  -183102045 ","  10000 ","  1.4 secs ","  Pianka ","  RA3 ","  0.48351 ","  0.33633 ","  0.0061685 ","  0.22547 ","  0.48601 ","  0.21044 ","  0.5286 ","0.9496 ","0.0505 ","1e-04 "
"7","MOTU","GWTS_France","Pygmy_Edge","  -183102045 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.25271 ","  0.25348 ","  0.0048654 ","  0.16246 ","  0.38544 ","  0.15184 ","  0.43218 ","0.5664 ","0.4343 ","7e-04 "
"8","MOTU","GWTS_France","Pygmy_France","  -183102045 ","  10000 ","  1.4 secs ","  Pianka ","  RA3 ","  0.50289 ","  0.36589 ","  0.0059366 ","  0.25716 ","  0.50289 ","  0.24002 ","  0.5448 ","0.9491 ","0.0509 ","0 "
"9","MOTU","GWTS_France","Pygmy_Outside","  -183102045 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.22742 ","  0.26282 ","  0.0048292 ","  0.17415 ","  0.39645 ","  0.16288 ","  0.43948 ","0.3393 ","0.6619 ","0.0012 "
"10","MOTU","GWTS_Inside","Pygmy_Edge","  -183102045 ","  10000 ","  1.6 secs ","  Pianka ","  RA3 ","  0.45835 ","  0.31496 ","  0.0044638 ","  0.22365 ","  0.4404 ","  0.21123 ","  0.47492 ","0.9652 ","0.035 ","2e-04 "
