Sample,shrew_zone,shrew_tran,Shrew,Transect,Zone,Season,Control,Trap_Site,Date,Sex,Time,Weight
E01,GWTS_Inside,GWTS_East,GWTS,East,Inside,Summer,No,IE40,03/09/2017,Unknown,13:15,11
E02,GWTS_Inside,GWTS_East,GWTS,East,Inside,Summer,No,IE40,03/09/2017,Unknown,13:15,9.8
E03,GWTS_Inside,GWTS_East,GWTS,East,Inside,Summer,No,IE40,03/09/2017,Unknown,16:45,10
E05,GWTS_Inside,GWTS_East,GWTS,East,Inside,Summer,No,IE41,03/09/2017,Unknown,17:30,13.2
E06,GWTS_Inside,GWTS_East,GWTS,East,Inside,Summer,No,IE41,03/09/2017,Unknown,17:30,10.5
E07,GWTS_Inside,GWTS_East,GWTS,East,Inside,Summer,No,IE41,03/09/2017,Unknown,17:58,9.2
E08,GWTS_Inside,GWTS_East,GWTS,East,Inside,Summer,No,IE41,03/09/2017,Unknown,17:58,9.9
E09,GWTS_Inside,GWTS_East,GWTS,East,Inside,Summer,No,IE41B,04/09/2017,Unknown,15:00,9.2
E10,GWTS_Inside,GWTS_East,GWTS,East,Inside,Summer,No,IE41B,04/09/2017,Unknown,15:00,9.5
E11,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Summer,No,IE04,14/09/2017,Unknown,11:45,3.2
E12,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Summer,No,IE04,14/09/2017,Unknown,12:45,3.4
E13,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Summer,No,IE04,14/09/2017,Unknown,12:45,2.9
E14,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Summer,No,IE04,14/09/2017,Unknown,14:05,3.4
E15,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Summer,No,IE54,15/09/2017,Unknown,11:00,3.6
E16,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Summer,No,IE54,15/09/2017,Unknown,13:30,3.4
E17,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Summer,No,IE54b,15/09/2017,Unknown,14:30,3.4
E18,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Summer,No,IE54,15/09/2017,Unknown,15:30,3
E19,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Summer,No,IE54c,15/09/2017,Unknown,16:30,3.3
E20,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Summer,No,IE54,15/09/2017,Unknown,16:40,3.2
E21,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,No,IE47,16/09/2017,Unknown,13:00,3.2
E22,GWTS_Edge,GWTS_East,GWTS,East,Edge,Summer,No,IE47,16/09/2017,Unknown,13:00,9.5
E23,GWTS_Edge,GWTS_East,GWTS,East,Edge,Summer,No,IE47,16/09/2017,Unknown,13:00,9.8
E24,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,No,IE47,16/09/2017,Unknown,14:50,3.2
E25,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,No,IE53,01/10/2017,Unknown,13:10,3.5
E26,GWTS_Edge,GWTS_East,GWTS,East,Edge,Summer,No,IE53,01/10/2017,Unknown,13:10,14.7
E27,GWTS_Edge,GWTS_East,GWTS,East,Edge,Summer,No,IE53,01/10/2017,Unknown,13:10,11.3
E28,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,No,IE53,01/10/2017,Unknown,13:50,3.4
E29,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,No,IE53,01/10/2017,Unknown,14:20,3.5
E30,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,No,IE53,06/10/2017,Unknown,13:15,3.6
E31,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,No,IE53,06/10/2017,Unknown,13:15,3.4
E32,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,No,IE53,06/10/2017,Unknown,13:30,3.5
E33,GWTS_Edge,GWTS_East,GWTS,East,Edge,Summer,No,IE53,06/10/2017,Unknown,13:30,15
E34,GWTS_Edge,GWTS_East,GWTS,East,Edge,Summer,No,IE53,06/10/2017,Unknown,13:30,9.8
E35,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,No,IE53,06/10/2017,Unknown,15:00,3.6
E36,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,No,IE53,06/10/2017,Unknown,16:00,3.7
E37,GWTS_Edge,GWTS_East,GWTS,East,Edge,Summer,No,IE53,06/10/2017,Unknown,16:00,11.2
E38,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Winter,No,IE04,16/02/2018,Unknown,Unknown,3
E39,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Winter,No,IE04,16/02/2018,Unknown,Unknown,2.9
E40,Pygmy_Outside,Pygmy_East,Pygmy,East,Outside,Winter,No,IE46,16/02/2018,Unknown,Unknown,2.9
E41,GWTS_Inside,GWTS_East,GWTS,East,Inside,Winter,No,IE38,18/02/2018,Unknown,Unknown,11.3
E42,GWTS_Inside,GWTS_East,GWTS,East,Inside,Winter,No,IE38,18/02/2018,Unknown,Unknown,13.1
